,subject,predicate,object
44,data:titanic:passenger:11,is_a,https://en.wikipedia.org/wiki/Woman
45,data:titanic:passenger:11,has_a_name,John Jacob \(Madeleine Talmadge Force\) Astor
46,data:titanic:passenger:11,has_a_marital_status,https://en.wikipedia.org/wiki/Marriage
47,data:titanic:passenger:11,has_an_age_of,18.0
48,data:titanic:passenger:12,is_a,https://en.wikipedia.org/wiki/Woman
49,data:titanic:passenger:12,has_a_name,Leontine Pauline Aubart
50,data:titanic:passenger:12,has_a_marital_status,Unknown
51,data:titanic:passenger:12,has_an_age_of,24.0
52,data:titanic:passenger:13,is_a,https://en.wikipedia.org/wiki/Woman
53,data:titanic:passenger:13,has_a_name,"Ellen ""Nellie"" Barber"
54,data:titanic:passenger:13,has_a_marital_status,https://en.wikipedia.org/wiki/Single_person
55,data:titanic:passenger:13,has_an_age_of,26.0
56,data:titanic:passenger:14,is_a,https://en.wikipedia.org/wiki/Man
57,data:titanic:passenger:14,has_a_name,Algernon Henry Wilson Barkworth
58,data:titanic:passenger:14,has_a_marital_status,Unknown
59,data:titanic:passenger:14,has_an_age_of,80.0
60,data:titanic:passenger:15,is_a,https://en.wikipedia.org/wiki/Man
61,data:titanic:passenger:15,has_a_name,John D Baumann
62,data:titanic:passenger:15,has_a_marital_status,Unknown
63,data:titanic:passenger:15,has_an_age_of,Unknown
64,data:titanic:passenger:16,is_a,https://en.wikipedia.org/wiki/Man
65,data:titanic:passenger:16,has_a_name,Quigg Edmond Baxter
66,data:titanic:passenger:16,has_a_marital_status,Unknown
67,data:titanic:passenger:16,has_an_age_of,24.0
68,data:titanic:passenger:17,is_a,https://en.wikipedia.org/wiki/Woman
69,data:titanic:passenger:17,has_a_name,James \(Helene DeLaudeniere Chaput\) Baxter
70,data:titanic:passenger:17,has_a_marital_status,https://en.wikipedia.org/wiki/Marriage
71,data:titanic:passenger:17,has_an_age_of,50.0
72,data:titanic:passenger:18,is_a,https://en.wikipedia.org/wiki/Woman
73,data:titanic:passenger:18,has_a_name,Albina Bazzani
74,data:titanic:passenger:18,has_a_marital_status,https://en.wikipedia.org/wiki/Single_person
75,data:titanic:passenger:18,has_an_age_of,32.0
76,data:titanic:passenger:19,is_a,https://en.wikipedia.org/wiki/Man
77,data:titanic:passenger:19,has_a_name,Thomson Beattie
78,data:titanic:passenger:19,has_a_marital_status,Unknown
79,data:titanic:passenger:19,has_an_age_of,36.0
80,data:titanic:passenger:20,is_a,https://en.wikipedia.org/wiki/Man
81,data:titanic:passenger:20,has_a_name,Richard Leonard Beckwith
82,data:titanic:passenger:20,has_a_marital_status,https://en.wikipedia.org/wiki/Marriage
83,data:titanic:passenger:20,has_an_age_of,37.0
84,data:titanic:passenger:21,is_a,https://en.wikipedia.org/wiki/Woman
85,data:titanic:passenger:21,has_a_name,Richard Leonard \(Sallie Monypeny\) Beckwith
86,data:titanic:passenger:21,has_a_marital_status,https://en.wikipedia.org/wiki/Marriage
87,data:titanic:passenger:21,has_an_age_of,47.0
88,data:titanic:passenger:22,is_a,https://en.wikipedia.org/wiki/Man
89,data:titanic:passenger:22,has_a_name,Karl Howell Behr
90,data:titanic:passenger:22,has_a_marital_status,Unknown
91,data:titanic:passenger:22,has_an_age_of,26.0
92,data:titanic:passenger:23,is_a,https://en.wikipedia.org/wiki/Woman
93,data:titanic:passenger:23,has_a_name,Rosalie Bidois
94,data:titanic:passenger:23,has_a_marital_status,https://en.wikipedia.org/wiki/Single_person
95,data:titanic:passenger:23,has_an_age_of,42.0
96,data:titanic:passenger:24,is_a,https://en.wikipedia.org/wiki/Woman
97,data:titanic:passenger:24,has_a_name,Ellen Bird
98,data:titanic:passenger:24,has_a_marital_status,https://en.wikipedia.org/wiki/Single_person
99,data:titanic:passenger:24,has_an_age_of,29.0
100,data:titanic:passenger:25,is_a,https://en.wikipedia.org/wiki/Man
101,data:titanic:passenger:25,has_a_name,Jakob Birnbaum
102,data:titanic:passenger:25,has_a_marital_status,Unknown
103,data:titanic:passenger:25,has_an_age_of,25.0
104,data:titanic:passenger:26,is_a,https://en.wikipedia.org/wiki/Man
105,data:titanic:passenger:26,has_a_name,Dickinson H Bishop
106,data:titanic:passenger:26,has_a_marital_status,https://en.wikipedia.org/wiki/Marriage
107,data:titanic:passenger:26,has_an_age_of,25.0
108,data:titanic:passenger:27,is_a,https://en.wikipedia.org/wiki/Woman
109,data:titanic:passenger:27,has_a_name,Dickinson H \(Helen Walton\) Bishop
110,data:titanic:passenger:27,has_a_marital_status,https://en.wikipedia.org/wiki/Marriage
111,data:titanic:passenger:27,has_an_age_of,19.0
112,data:titanic:passenger:28,is_a,https://en.wikipedia.org/wiki/Woman
113,data:titanic:passenger:28,has_a_name,Amelia Bissette
114,data:titanic:passenger:28,has_a_marital_status,https://en.wikipedia.org/wiki/Single_person
115,data:titanic:passenger:28,has_an_age_of,35.0
116,data:titanic:passenger:29,is_a,https://en.wikipedia.org/wiki/Man
117,data:titanic:passenger:29,has_a_name,Mauritz Hakan Bjornstrom-Steffansson
118,data:titanic:passenger:29,has_a_marital_status,Unknown
119,data:titanic:passenger:29,has_an_age_of,28.0
120,data:titanic:passenger:30,is_a,https://en.wikipedia.org/wiki/Man
121,data:titanic:passenger:30,has_a_name,Stephen Weart Blackwell
122,data:titanic:passenger:30,has_a_marital_status,Unknown
123,data:titanic:passenger:30,has_an_age_of,45.0
124,data:titanic:passenger:31,is_a,https://en.wikipedia.org/wiki/Man
125,data:titanic:passenger:31,has_a_name,Henry Blank
126,data:titanic:passenger:31,has_a_marital_status,Unknown
127,data:titanic:passenger:31,has_an_age_of,40.0
128,data:titanic:passenger:32,is_a,https://en.wikipedia.org/wiki/Woman
129,data:titanic:passenger:32,has_a_name,Caroline Bonnell
130,data:titanic:passenger:32,has_a_marital_status,https://en.wikipedia.org/wiki/Single_person
131,data:titanic:passenger:32,has_an_age_of,30.0
132,data:titanic:passenger:33,is_a,https://en.wikipedia.org/wiki/Woman
133,data:titanic:passenger:33,has_a_name,Elizabeth Bonnell
134,data:titanic:passenger:33,has_a_marital_status,https://en.wikipedia.org/wiki/Single_person
135,data:titanic:passenger:33,has_an_age_of,58.0
136,data:titanic:passenger:34,is_a,https://en.wikipedia.org/wiki/Man
137,data:titanic:passenger:34,has_a_name,John James Borebank
138,data:titanic:passenger:34,has_a_marital_status,Unknown
139,data:titanic:passenger:34,has_an_age_of,42.0
140,data:titanic:passenger:35,is_a,https://en.wikipedia.org/wiki/Woman
141,data:titanic:passenger:35,has_a_name,Grace Scott Bowen
142,data:titanic:passenger:35,has_a_marital_status,https://en.wikipedia.org/wiki/Single_person
143,data:titanic:passenger:35,has_an_age_of,45.0
144,data:titanic:passenger:36,is_a,https://en.wikipedia.org/wiki/Woman
145,data:titanic:passenger:36,has_a_name,Elsie Edith Bowerman
146,data:titanic:passenger:36,has_a_marital_status,https://en.wikipedia.org/wiki/Single_person
147,data:titanic:passenger:36,has_an_age_of,22.0
148,data:titanic:passenger:37,is_a,https://en.wikipedia.org/wiki/Man
149,data:titanic:passenger:37,has_a_name,"George \(""George Arthur Brayton""\) Bradley"
150,data:titanic:passenger:37,has_a_marital_status,Unknown
151,data:titanic:passenger:37,has_an_age_of,Unknown
152,data:titanic:passenger:38,is_a,https://en.wikipedia.org/wiki/Man
153,data:titanic:passenger:38,has_a_name,John Bertram Brady
154,data:titanic:passenger:38,has_a_marital_status,Unknown
155,data:titanic:passenger:38,has_an_age_of,41.0
156,data:titanic:passenger:39,is_a,https://en.wikipedia.org/wiki/Man
157,data:titanic:passenger:39,has_a_name,Emil Brandeis
158,data:titanic:passenger:39,has_a_marital_status,Unknown
159,data:titanic:passenger:39,has_an_age_of,48.0
160,data:titanic:passenger:40,is_a,https://en.wikipedia.org/wiki/Man
161,data:titanic:passenger:40,has_a_name,Arthur Jackson Brewe
162,data:titanic:passenger:40,has_a_marital_status,Unknown
163,data:titanic:passenger:40,has_an_age_of,Unknown
164,data:titanic:passenger:41,is_a,https://en.wikipedia.org/wiki/Woman
165,data:titanic:passenger:41,has_a_name,James Joseph \(Margaret Tobin\) Brown
166,data:titanic:passenger:41,has_a_marital_status,https://en.wikipedia.org/wiki/Marriage
167,data:titanic:passenger:41,has_an_age_of,44.0
168,data:titanic:passenger:42,is_a,https://en.wikipedia.org/wiki/Woman
169,data:titanic:passenger:42,has_a_name,John Murray \(Caroline Lane Lamson\) Brown
170,data:titanic:passenger:42,has_a_marital_status,https://en.wikipedia.org/wiki/Marriage
171,data:titanic:passenger:42,has_an_age_of,59.0
172,data:titanic:passenger:43,is_a,https://en.wikipedia.org/wiki/Woman
173,data:titanic:passenger:43,has_a_name,William Robert \(Emma Eliza Ward\) Bucknell
174,data:titanic:passenger:43,has_a_marital_status,https://en.wikipedia.org/wiki/Marriage
175,data:titanic:passenger:43,has_an_age_of,60.0
176,data:titanic:passenger:44,is_a,https://en.wikipedia.org/wiki/Woman
177,data:titanic:passenger:44,has_a_name,Elizabeth Margaret Burns
178,data:titanic:passenger:44,has_a_marital_status,https://en.wikipedia.org/wiki/Single_person
179,data:titanic:passenger:44,has_an_age_of,41.0
180,data:titanic:passenger:45,is_a,https://en.wikipedia.org/wiki/Man
181,data:titanic:passenger:45,has_a_name,Archibald Willingham Butt
182,data:titanic:passenger:45,has_a_marital_status,Unknown
183,data:titanic:passenger:45,has_an_age_of,45.0
184,data:titanic:passenger:46,is_a,https://en.wikipedia.org/wiki/Man
185,data:titanic:passenger:46,has_a_name,Alexander Cairns
186,data:titanic:passenger:46,has_a_marital_status,Unknown
187,data:titanic:passenger:46,has_an_age_of,Unknown
188,data:titanic:passenger:47,is_a,https://en.wikipedia.org/wiki/Man
189,data:titanic:passenger:47,has_a_name,Edward Pennington Calderhead
190,data:titanic:passenger:47,has_a_marital_status,Unknown
191,data:titanic:passenger:47,has_an_age_of,42.0
192,data:titanic:passenger:48,is_a,https://en.wikipedia.org/wiki/Woman
193,data:titanic:passenger:48,has_a_name,Edward \(Helen Churchill Hungerford\) Candee
194,data:titanic:passenger:48,has_a_marital_status,https://en.wikipedia.org/wiki/Marriage
195,data:titanic:passenger:48,has_an_age_of,53.0
196,data:titanic:passenger:49,is_a,https://en.wikipedia.org/wiki/Man
197,data:titanic:passenger:49,has_a_name,Thomas Drake Martinez Cardeza
198,data:titanic:passenger:49,has_a_marital_status,Unknown
199,data:titanic:passenger:49,has_an_age_of,36.0
200,data:titanic:passenger:50,is_a,https://en.wikipedia.org/wiki/Woman
201,data:titanic:passenger:50,has_a_name,James Warburton Martinez \(Charlotte Wardle Drake\) Cardeza
202,data:titanic:passenger:50,has_a_marital_status,https://en.wikipedia.org/wiki/Marriage
203,data:titanic:passenger:50,has_an_age_of,58.0
204,data:titanic:passenger:51,is_a,https://en.wikipedia.org/wiki/Man
205,data:titanic:passenger:51,has_a_name,Frans Olof Carlsson
206,data:titanic:passenger:51,has_a_marital_status,Unknown
207,data:titanic:passenger:51,has_an_age_of,33.0
208,data:titanic:passenger:52,is_a,https://en.wikipedia.org/wiki/Man
209,data:titanic:passenger:52,has_a_name,Francisco M Carrau
210,data:titanic:passenger:52,has_a_marital_status,Unknown
211,data:titanic:passenger:52,has_an_age_of,28.0
212,data:titanic:passenger:53,is_a,https://en.wikipedia.org/wiki/Man
213,data:titanic:passenger:53,has_a_name,Jose Pedro Carrau
214,data:titanic:passenger:53,has_a_marital_status,Unknown
215,data:titanic:passenger:53,has_an_age_of,17.0
216,data:titanic:passenger:54,is_a,https://en.wikipedia.org/wiki/Man
217,data:titanic:passenger:54,has_a_name,William Thornton II Carter
218,data:titanic:passenger:54,has_a_marital_status,https://en.wikipedia.org/wiki/Single_person
219,data:titanic:passenger:54,has_an_age_of,11.0
220,data:titanic:passenger:55,is_a,https://en.wikipedia.org/wiki/Woman
221,data:titanic:passenger:55,has_a_name,Lucile Polk Carter
222,data:titanic:passenger:55,has_a_marital_status,https://en.wikipedia.org/wiki/Single_person
223,data:titanic:passenger:55,has_an_age_of,14.0
224,data:titanic:passenger:56,is_a,https://en.wikipedia.org/wiki/Man
225,data:titanic:passenger:56,has_a_name,William Ernest Carter
226,data:titanic:passenger:56,has_a_marital_status,https://en.wikipedia.org/wiki/Marriage
227,data:titanic:passenger:56,has_an_age_of,36.0
228,data:titanic:passenger:57,is_a,https://en.wikipedia.org/wiki/Woman
229,data:titanic:passenger:57,has_a_name,William Ernest \(Lucile Polk\) Carter
230,data:titanic:passenger:57,has_a_marital_status,https://en.wikipedia.org/wiki/Marriage
231,data:titanic:passenger:57,has_an_age_of,36.0
232,data:titanic:passenger:58,is_a,https://en.wikipedia.org/wiki/Man
233,data:titanic:passenger:58,has_a_name,Howard Brown Case
234,data:titanic:passenger:58,has_a_marital_status,Unknown
235,data:titanic:passenger:58,has_an_age_of,49.0
236,data:titanic:passenger:59,is_a,https://en.wikipedia.org/wiki/Woman
237,data:titanic:passenger:59,has_a_name,Henry Arthur Jr \(Eleanor Genevieve Fosdick\) Cassebeer
238,data:titanic:passenger:59,has_a_marital_status,https://en.wikipedia.org/wiki/Marriage
239,data:titanic:passenger:59,has_an_age_of,Unknown
240,data:titanic:passenger:60,is_a,https://en.wikipedia.org/wiki/Man
241,data:titanic:passenger:60,has_a_name,Tyrell William Cavendish
242,data:titanic:passenger:60,has_a_marital_status,https://en.wikipedia.org/wiki/Marriage
243,data:titanic:passenger:60,has_an_age_of,36.0
244,data:titanic:passenger:61,is_a,https://en.wikipedia.org/wiki/Woman
245,data:titanic:passenger:61,has_a_name,Tyrell William \(Julia Florence Siegel\) Cavendish
246,data:titanic:passenger:61,has_a_marital_status,https://en.wikipedia.org/wiki/Marriage
247,data:titanic:passenger:61,has_an_age_of,76.0
248,data:titanic:passenger:62,is_a,https://en.wikipedia.org/wiki/Man
249,data:titanic:passenger:62,has_a_name,Herbert Fuller Chaffee
250,data:titanic:passenger:62,has_a_marital_status,https://en.wikipedia.org/wiki/Marriage
251,data:titanic:passenger:62,has_an_age_of,46.0
252,data:titanic:passenger:63,is_a,https://en.wikipedia.org/wiki/Woman
253,data:titanic:passenger:63,has_a_name,Herbert Fuller \(Carrie Constance Toogood\) Chaffee
254,data:titanic:passenger:63,has_a_marital_status,https://en.wikipedia.org/wiki/Marriage
255,data:titanic:passenger:63,has_an_age_of,47.0
256,data:titanic:passenger:64,is_a,https://en.wikipedia.org/wiki/Man
257,data:titanic:passenger:64,has_a_name,Norman Campbell Chambers
258,data:titanic:passenger:64,has_a_marital_status,https://en.wikipedia.org/wiki/Marriage
259,data:titanic:passenger:64,has_an_age_of,27.0
260,data:titanic:passenger:65,is_a,https://en.wikipedia.org/wiki/Woman
261,data:titanic:passenger:65,has_a_name,Norman Campbell \(Bertha Griggs\) Chambers
262,data:titanic:passenger:65,has_a_marital_status,https://en.wikipedia.org/wiki/Marriage
263,data:titanic:passenger:65,has_an_age_of,33.0
264,data:titanic:passenger:66,is_a,https://en.wikipedia.org/wiki/Woman
265,data:titanic:passenger:66,has_a_name,Victorine Chaudanson
266,data:titanic:passenger:66,has_a_marital_status,https://en.wikipedia.org/wiki/Single_person
267,data:titanic:passenger:66,has_an_age_of,36.0
268,data:titanic:passenger:67,is_a,https://en.wikipedia.org/wiki/Woman
269,data:titanic:passenger:67,has_a_name,Gladys Cherry
270,data:titanic:passenger:67,has_a_marital_status,https://en.wikipedia.org/wiki/Single_person
271,data:titanic:passenger:67,has_an_age_of,30.0
272,data:titanic:passenger:68,is_a,https://en.wikipedia.org/wiki/Man
273,data:titanic:passenger:68,has_a_name,Paul Romaine Chevre
274,data:titanic:passenger:68,has_a_marital_status,Unknown
275,data:titanic:passenger:68,has_an_age_of,45.0
276,data:titanic:passenger:69,is_a,https://en.wikipedia.org/wiki/Woman
277,data:titanic:passenger:69,has_a_name,\(Edith Martha Bowerman\) Chibnall
278,data:titanic:passenger:69,has_a_marital_status,https://en.wikipedia.org/wiki/Marriage
279,data:titanic:passenger:69,has_an_age_of,Unknown
280,data:titanic:passenger:70,is_a,https://en.wikipedia.org/wiki/Man
281,data:titanic:passenger:70,has_a_name,Roderick Robert Crispin Chisholm
282,data:titanic:passenger:70,has_a_marital_status,Unknown
283,data:titanic:passenger:70,has_an_age_of,Unknown
284,data:titanic:passenger:71,is_a,https://en.wikipedia.org/wiki/Man
285,data:titanic:passenger:71,has_a_name,Walter Miller Clark
286,data:titanic:passenger:71,has_a_marital_status,https://en.wikipedia.org/wiki/Marriage
287,data:titanic:passenger:71,has_an_age_of,27.0
288,data:titanic:passenger:72,is_a,https://en.wikipedia.org/wiki/Woman
289,data:titanic:passenger:72,has_a_name,Walter Miller \(Virginia McDowell\) Clark
290,data:titanic:passenger:72,has_a_marital_status,https://en.wikipedia.org/wiki/Marriage
291,data:titanic:passenger:72,has_an_age_of,26.0
292,data:titanic:passenger:73,is_a,https://en.wikipedia.org/wiki/Woman
293,data:titanic:passenger:73,has_a_name,Alice Cleaver
294,data:titanic:passenger:73,has_a_marital_status,https://en.wikipedia.org/wiki/Single_person
295,data:titanic:passenger:73,has_an_age_of,22.0
296,data:titanic:passenger:74,is_a,https://en.wikipedia.org/wiki/Man
297,data:titanic:passenger:74,has_a_name,George Quincy Clifford
298,data:titanic:passenger:74,has_a_marital_status,Unknown
299,data:titanic:passenger:74,has_an_age_of,Unknown
300,data:titanic:passenger:75,is_a,https://en.wikipedia.org/wiki/Man
301,data:titanic:passenger:75,has_a_name,Edward Pomeroy Colley
302,data:titanic:passenger:75,has_a_marital_status,Unknown
303,data:titanic:passenger:75,has_an_age_of,47.0
304,data:titanic:passenger:76,is_a,https://en.wikipedia.org/wiki/Woman
305,data:titanic:passenger:76,has_a_name,Sara Rebecca Compton
306,data:titanic:passenger:76,has_a_marital_status,https://en.wikipedia.org/wiki/Single_person
307,data:titanic:passenger:76,has_an_age_of,39.0
308,data:titanic:passenger:77,is_a,https://en.wikipedia.org/wiki/Man
309,data:titanic:passenger:77,has_a_name,Alexander Taylor Jr Compton
310,data:titanic:passenger:77,has_a_marital_status,https://en.wikipedia.org/wiki/Marriage
311,data:titanic:passenger:77,has_an_age_of,37.0
312,data:titanic:passenger:78,is_a,https://en.wikipedia.org/wiki/Woman
313,data:titanic:passenger:78,has_a_name,Alexander Taylor \(Mary Eliza Ingersoll\) Compton
314,data:titanic:passenger:78,has_a_marital_status,https://en.wikipedia.org/wiki/Marriage
315,data:titanic:passenger:78,has_an_age_of,64.0
316,data:titanic:passenger:79,is_a,https://en.wikipedia.org/wiki/Woman
317,data:titanic:passenger:79,has_a_name,Robert Clifford \(Malvina Helen Lamson\) Cornell
318,data:titanic:passenger:79,has_a_marital_status,https://en.wikipedia.org/wiki/Marriage
319,data:titanic:passenger:79,has_an_age_of,55.0
320,data:titanic:passenger:80,is_a,https://en.wikipedia.org/wiki/Man
321,data:titanic:passenger:80,has_a_name,John Bertram Crafton
322,data:titanic:passenger:80,has_a_marital_status,Unknown
323,data:titanic:passenger:80,has_an_age_of,Unknown
324,data:titanic:passenger:81,is_a,https://en.wikipedia.org/wiki/Man
325,data:titanic:passenger:81,has_a_name,Edward Gifford Crosby
326,data:titanic:passenger:81,has_a_marital_status,Unknown
327,data:titanic:passenger:81,has_an_age_of,70.0
328,data:titanic:passenger:82,is_a,https://en.wikipedia.org/wiki/Woman
329,data:titanic:passenger:82,has_a_name,Harriet R Crosby
330,data:titanic:passenger:82,has_a_marital_status,https://en.wikipedia.org/wiki/Single_person
331,data:titanic:passenger:82,has_an_age_of,36.0
332,data:titanic:passenger:83,is_a,https://en.wikipedia.org/wiki/Woman
333,data:titanic:passenger:83,has_a_name,Edward Gifford \(Catherine Elizabeth Halstead\) Crosby
334,data:titanic:passenger:83,has_a_marital_status,https://en.wikipedia.org/wiki/Marriage
335,data:titanic:passenger:83,has_an_age_of,64.0
336,data:titanic:passenger:84,is_a,https://en.wikipedia.org/wiki/Man
337,data:titanic:passenger:84,has_a_name,John Bradley Cumings
338,data:titanic:passenger:84,has_a_marital_status,https://en.wikipedia.org/wiki/Marriage
339,data:titanic:passenger:84,has_an_age_of,39.0
340,data:titanic:passenger:85,is_a,https://en.wikipedia.org/wiki/Woman
341,data:titanic:passenger:85,has_a_name,John Bradley \(Florence Briggs Thayer\) Cumings
342,data:titanic:passenger:85,has_a_marital_status,https://en.wikipedia.org/wiki/Marriage
343,data:titanic:passenger:85,has_an_age_of,38.0
344,data:titanic:passenger:86,is_a,https://en.wikipedia.org/wiki/Man
345,data:titanic:passenger:86,has_a_name,Peter Denis  Daly
346,data:titanic:passenger:86,has_a_marital_status,Unknown
347,data:titanic:passenger:86,has_an_age_of,51.0
348,data:titanic:passenger:87,is_a,https://en.wikipedia.org/wiki/Man
349,data:titanic:passenger:87,has_a_name,Robert Williams Daniel
350,data:titanic:passenger:87,has_a_marital_status,Unknown
351,data:titanic:passenger:87,has_an_age_of,27.0
352,data:titanic:passenger:88,is_a,https://en.wikipedia.org/wiki/Woman
353,data:titanic:passenger:88,has_a_name,Sarah Daniels
354,data:titanic:passenger:88,has_a_marital_status,https://en.wikipedia.org/wiki/Single_person
355,data:titanic:passenger:88,has_an_age_of,33.0
356,data:titanic:passenger:89,is_a,https://en.wikipedia.org/wiki/Man
357,data:titanic:passenger:89,has_a_name,Thornton Davidson
358,data:titanic:passenger:89,has_a_marital_status,https://en.wikipedia.org/wiki/Marriage
359,data:titanic:passenger:89,has_an_age_of,31.0
360,data:titanic:passenger:90,is_a,https://en.wikipedia.org/wiki/Woman
361,data:titanic:passenger:90,has_a_name,Thornton \(Orian Hays\) Davidson
362,data:titanic:passenger:90,has_a_marital_status,https://en.wikipedia.org/wiki/Marriage
363,data:titanic:passenger:90,has_an_age_of,27.0
364,data:titanic:passenger:91,is_a,https://en.wikipedia.org/wiki/Man
365,data:titanic:passenger:91,has_a_name,Albert Adrian Dick
366,data:titanic:passenger:91,has_a_marital_status,https://en.wikipedia.org/wiki/Marriage
367,data:titanic:passenger:91,has_an_age_of,31.0
368,data:titanic:passenger:92,is_a,https://en.wikipedia.org/wiki/Woman
369,data:titanic:passenger:92,has_a_name,Albert Adrian \(Vera Gillespie\) Dick
370,data:titanic:passenger:92,has_a_marital_status,https://en.wikipedia.org/wiki/Marriage
371,data:titanic:passenger:92,has_an_age_of,17.0
372,data:titanic:passenger:93,is_a,https://en.wikipedia.org/wiki/Man
373,data:titanic:passenger:93,has_a_name,Washington Dodge
374,data:titanic:passenger:93,has_a_marital_status,Unknown
375,data:titanic:passenger:93,has_an_age_of,53.0
376,data:titanic:passenger:94,is_a,https://en.wikipedia.org/wiki/Man
377,data:titanic:passenger:94,has_a_name,Washington Dodge
378,data:titanic:passenger:94,has_a_marital_status,https://en.wikipedia.org/wiki/Single_person
379,data:titanic:passenger:94,has_an_age_of,4.0
380,data:titanic:passenger:95,is_a,https://en.wikipedia.org/wiki/Woman
381,data:titanic:passenger:95,has_a_name,Washington \(Ruth Vidaver\) Dodge
382,data:titanic:passenger:95,has_a_marital_status,https://en.wikipedia.org/wiki/Marriage
383,data:titanic:passenger:95,has_an_age_of,54.0
384,data:titanic:passenger:96,is_a,https://en.wikipedia.org/wiki/Man
385,data:titanic:passenger:96,has_a_name,Walter Donald Douglas
386,data:titanic:passenger:96,has_a_marital_status,https://en.wikipedia.org/wiki/Marriage
387,data:titanic:passenger:96,has_an_age_of,50.0
388,data:titanic:passenger:97,is_a,https://en.wikipedia.org/wiki/Woman
389,data:titanic:passenger:97,has_a_name,Frederick Charles \(Mary Helene Baxter\) Douglas
390,data:titanic:passenger:97,has_a_marital_status,https://en.wikipedia.org/wiki/Marriage
391,data:titanic:passenger:97,has_an_age_of,27.0
392,data:titanic:passenger:98,is_a,https://en.wikipedia.org/wiki/Woman
393,data:titanic:passenger:98,has_a_name,Walter Donald \(Mahala Dutton\) Douglas
394,data:titanic:passenger:98,has_a_marital_status,https://en.wikipedia.org/wiki/Marriage
395,data:titanic:passenger:98,has_an_age_of,48.0
396,data:titanic:passenger:99,is_a,https://en.wikipedia.org/wiki/Woman
397,data:titanic:passenger:99,has_a_name,"\(Lucille Christiana Sutherland\) \(""Mrs Morgan""\) Duff Gordon"
398,data:titanic:passenger:99,has_a_marital_status,Unknown
399,data:titanic:passenger:99,has_an_age_of,48.0
400,data:titanic:passenger:100,is_a,https://en.wikipedia.org/wiki/Man
401,data:titanic:passenger:100,has_a_name,"Cosmo Edmund \(""Mr Morgan""\) Duff Gordon"
402,data:titanic:passenger:100,has_a_marital_status,Unknown
403,data:titanic:passenger:100,has_an_age_of,49.0
404,data:titanic:passenger:101,is_a,https://en.wikipedia.org/wiki/Man
405,data:titanic:passenger:101,has_a_name,William Crothers Dulles
406,data:titanic:passenger:101,has_a_marital_status,Unknown
407,data:titanic:passenger:101,has_an_age_of,39.0
